Index,LCSC#,MPN,Manufacturer,Package,Customer #,Description,RoHS,Quantity,MOQ,Multiple,Unit Price($),Extended Price($),Product Link
1,C23692977,CGA0805X5R107M6R3MT,HRE,0805,,6.3V 100uF X5R ±20% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,yes,2,1,1,0.4532,0.91,https://www.lcsc.com/product-detail/C23692977.html
2,C22373945,HC-PM254-8.5H-2x4PS,Hong Cheng,"SMD,P=2.54mm",,"2.54mm 2.54mm 3A 2 Gold 8P -40℃~+105℃ Brass Surface Mount,Vertical 2x4P 8.5mm Top Square Hole SMD,P=2.54mm Female Headers ROHS",yes,19,19,19,0.1641,3.12,https://www.lcsc.com/product-detail/C22373945.html
3,C18077722,BX-GH1.25-6PWT,Bossie,"SMD,P=1.25mm,Surface Mount,Right Angle",,"1x6P 6P GH Tin 6 -25℃~+85℃ 1A 1 1.25mm Brass Surface Mount, Right Angle SMD,P=1.25mm,Surface Mount,Right Angle Wire To Board Connector ROHS",yes,5,5,5,0.0849,0.42,https://www.lcsc.com/product-detail/C18077722.html
4,C41411066,WT125A1W-063R-003,ZGWD,"SMD,P=1.25mm,Surface Mount,Right Angle",,"1x6P PicoBlade(MX 1.25) 1 6P Tin 1.25mm 6 -25℃~+85℃ Copper Alloy Surface Mount, Right Angle SMD,P=1.25mm,Surface Mount,Right Angle Wire To Board Connector ROHS",yes,10,10,10,0.0226,0.23,https://www.lcsc.com/product-detail/C41411066.html
5,C7432450,WAFER-GH125W-9A,Hanbo Electronic,"SMD,P=1.25mm,Surface Mount,Right Angle",,"1x9P GH 9P 1 1.25mm 9 -25℃~+85℃ Phosphor Bronze 1A Surface Mount, Right Angle SMD,P=1.25mm,Surface Mount,Right Angle Wire To Board Connector ROHS",yes,5,5,5,0.0845,0.42,https://www.lcsc.com/product-detail/C7432450.html
6,C133633,"PMEG1030EJ,115",Nexperia,SOD-323F,,10V 1 Standalone 530mV@3A 3A SOD-323F Schottky Diodes ROHS,yes,5,5,5,0.0958,0.48,https://www.lcsc.com/product-detail/C133633.html
7,C2680665,CKD61BJB0J474ST0H0N,TDK,0603,,0603 Feed Through Capacitors ROHS,yes,2,1,1,0.1694,0.34,https://www.lcsc.com/product-detail/C2680665.html
8,C2649564,MFU0805FF01000P100,VISHAY,0805,,50A Surface Mount Fuse 1A 32V 0805 Disposable fuses ROHS,yes,1,1,1,0.6507,0.65,https://www.lcsc.com/product-detail/C2649564.html
9,C1972445,MFU0805FF02000P100,VISHAY,0805,,50A Surface Mount Fuse 2A 32V 0805 Disposable fuses ROHS,yes,1,1,1,0.3490,0.35,https://www.lcsc.com/product-detail/C1972445.html
10,C2649565,MFU0805FF00500P100,VISHAY,0805,,50A Surface Mount Fuse 500mA 32V 0805 Disposable fuses ROHS,yes,1,1,1,0.7595,0.76,https://www.lcsc.com/product-detail/C2649565.html
11,C5245246,DMG1012UW,DIODES,SOT-323,,"20V 640mA 290mW 400mΩ@2.5V,500mA 1V 1 N-Channel SOT-323 MOSFETs ROHS",yes,1,1,1,0.4813,0.48,https://www.lcsc.com/product-detail/C5245246.html
12,C3278612,BSS223PWH6327,Infineon,SOT-323,,20V 390mA 1.2Ω@4.5V 250mW 1.2V@1.5uA 1 P-Channel SOT-323 MOSFETs ROHS,yes,5,5,5,0.0466,0.23,https://www.lcsc.com/product-detail/C3278612.html
13,C458749,LTST-C19HE1WT,LITEON,0606,,0606 RGB LEDs ROHS,yes,10,10,10,0.0585,0.59,https://www.lcsc.com/product-detail/C458749.html
14,C7429517,ZX-GH1.25-WT4,Megastar,"SMD,P=1.25mm,Surface Mount,Right Angle",,"1x4P 4P GH Tin 4 -25℃~+85℃ 1A 1 1.25mm Phosphor Bronze Surface Mount, Right Angle SMD,P=1.25mm,Surface Mount,Right Angle Wire To Board Connector ROHS",yes,5,5,5,0.0549,0.27,https://www.lcsc.com/product-detail/C7429517.html
15,C38898,0603X106K100NT,FH,0603,,10V 10uF X5R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,yes,50,50,50,0.0075,0.38,https://www.lcsc.com/product-detail/C38898.html
16,C475250,C0603X5R106K6R3NT,SANYEAR,0603,,6.3V 10uF X5R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,yes,100,100,100,0.0044,0.44,https://www.lcsc.com/product-detail/C475250.html
